director,genre,stars,title,year
Jeethu Joseph,,"Mohanlal, Meena, Asha Sharath, Ansiba, Esther Anil",Drishyam,2013
Can Ulkay,,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol, Ali Atay",Ayla: The Daughter of War,2017
Vishnuvardhan,,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri, Sahil Vaid",Shershaah,2021
Ram Kumar,,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan, Munishkanth",Raatchasan,2018
Charles Chaplin,,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller, Albert Austin",The Kid,1921
Satyajit Ray,,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi, Uma Das Gupta",Pather Panchali,1955
Lokesh Kanagaraj,,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain, Suriya",Vikram,2022
Çagan Irmak,,"Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman, Serif Sezer",My Father and My Son,2005
Ashutosh Gowariker,,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth, Lekh Tandon",Swades,2004
Carl Theodor Dreyer,,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, Antonin Artaud",The Passion of Joan of Arc,1928
Prashanth Neel,,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois, Anant Nag",K.G.F: Chapter 1,2018
Akira Kurosawa,,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov, V. Lastochkin",Dersu Uzala,1975
Henri-Georges Clouzot,,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli, Véra Clouzot",The Wages of Fear,1953
Majid Majidi,,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi",Children of Heaven,1997
Costa-Gavras,,"Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer, Jacques Perrin",Z,1969
Yasujirô Ozu,,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara, Haruko Sugimura",Tokyo Story,1953
Zoya Akhtar,,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif, Kalki Koechlin",Zindagi Na Milegi Dobara,2011
Sukumar,,"Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu, V.K. Naresh",Rangasthalam 1985,2018
Nishikant Kamat,,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta",Drishyam,2015
Sriram Raghavan,,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan, Manav Vij",Andhadhun,2018
Mehmet Ada Öztekin,,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal, Ilker Aksum",Miracle in Cell No. 7,2019
Akira Kurosawa,,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada",Yojimbo,1961
John Huston,,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane",The Treasure of the Sierra Madre,1948
Akira Kurosawa,,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki",Rashomon,1950
"Sergio Pablos, Carlos Martínez López",,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba",Klaus,2019
Abhishek Pathak,,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran, Ishita Dutta",Drishyam 2,2022
Joseph L. Mankiewicz,,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",All About Eve,1950
Andrei Tarkovsky,,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Natalya Abramova",Stalker,1979
