director,genre,stars,title,year
Spike Lee,,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe",Inside Man,2006
Quentin Tarantino,,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley",Once Upon a Time in Hollywood,2019
Mary Harron,,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny",American Psycho,2000
Chris Columbus,,"Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith, Robbie Coltrane",Harry Potter and the Sorcerer's Stone,2001
Fatih Akin,,"Baki Davrak, Gürsoy Gemec, Cengiz Daner, Tuncel Kurtiz, Nursel Köse",The Edge of Heaven,2007
Park Chan-wook,,"Lee Yeong-ae, Lee Byung-hun, Song Kang-ho, Kim Tae-woo, Shin Ha-kyun",Joint Security Area,2000
Woody Allen,,"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter, Marvin Chatinover",Zelig,1983
François Truffaut,,"Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino, Serge Rezvani",Jules and Jim,1962
Asghar Farhadi,,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet, Elyes Aguis",The Past,2013
Woody Allen,,"Woody Allen, Diane Keaton, Georges Adet, Frank Adu, Edmond Ardisson",Love and Death,1975
Nora Twomey,,"Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq, Ali Badshah",The Breadwinner,2017
Brian Henson,,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, Frank Oz",The Muppet Christmas Carol,1992
Woody Allen,,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman, Stephanie Farrow",The Purple Rose of Cairo,1985
Jim Sheridan,,"Paddy Considine, Samantha Morton, Djimon Hounsou, Sarah Bolger, Emma Bolger",In America,2002
Susanne Bier,,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård, Neeral Mulchandani, Tanya Sharma",After the Wedding,2006
Peter Mullan,,"Eileen Walsh, Dorothy Duffy, Nora-Jane Noone, Anne-Marie Duff, Geraldine McEwan",The Magdalene Sisters,2002
Jim Jarmusch,,"Tom Waits, John Lurie, Roberto Benigni, Nicoletta Braschi, Ellen Barkin",Down by Law,1986
Takeshi Kitano,,"Takeshi Kitano, Kayoko Kishimoto, Ren Ôsugi, Susumu Terajima, Tetsu Watanabe",Fireworks,1997
Abbas Kiarostami,,"Homayoun Ershadi, Abdolrahman Bagheri, Afshin Khorshid Bakhtiari, Safar Ali Moradi, Mir Hossein Noori",Taste of Cherry,1997
Ron Howard,,"Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell, Matthew Macfadyen",Frost/Nixon,2008
"Akira Kurosawa, Ishirô Honda",,"Akira Terao, Mitsuko Baishô, Toshie Negishi, Mieko Harada, Mitsunori Isaki",Dreams,1990
Felix van Groeningen,,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse, Geert Van Rampelberg, Nils De Caster",The Broken Circle Breakdown,2012
Oliver Hirschbiegel,,"Moritz Bleibtreu, Christian Berkel, Oliver Stokowski, Wotan Wilke Möhring, Stephan Szasz",The Experiment,2001
Anders Thomas Jensen,,"Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro, Paprika Steen, Ali Kazim",Adam's Apples,2005
John Cameron Mitchell,,"John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski, Rob Campbell",Hedwig and the Angry Inch,2001
Sylvain Chomet,,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin, Monica Viegas, Dirk Denoyelle",The Triplets of Belleville,2003
Mikael Håfström,,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård, Linda Zilliacus, Jesper Salén",Evil,2003
Robert Altman,,"Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison, Jack Lemmon",Short Cuts,1993
Alfonso Gomez-Rejon,,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman, Connie Britton",Me and Earl and the Dying Girl,2015
Fred Zinnemann,,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern, Orson Welles",A Man for All Seasons,1966
Cary Joji Fukunaga,,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote, Vera Nyarkoah Antwi",Beasts of No Nation,2015
Jean-Luc Godard,,"Jean-Paul Belmondo, Jean Seberg, Van Doude, Jean-Luc Godard, Richard Balducci",Breathless,1960
René Laloux,,"Barry Bostwick, Jennifer Drake, Eric Baugin, Jean Topart, Jean Valmont",Fantastic Planet,1973
John Ford,,"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond, Victor McLaglen",The Quiet Man,1952
Alejandro Amenábar,,"Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez, Najwa Nimri",Open Your Eyes,1997
John Huston,,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore, Claire Trevor",Key Largo,1948
Terrence Malick,,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, Alan Vint",Badlands,1973
Paul Verhoeven,,"Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn, Waldemar Kobus",Black Book,2006
Richard Linklater,,"Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins, Glover Gill",Waking Life,2001
Alexander Payne,,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, Stacy Keach",Nebraska,2013
John Huston,,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, Theodore Bikel",The African Queen,1951
"James Algar, Samuel Armstrong, Ford Beebe Jr.",,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton, Walt Disney",Fantasia,1940
"Joel Coen, Ethan Coen",,"Gabriel Byrne, Albert Finney, John Turturro, Marcia Gay Harden, Jon Polito",Miller's Crossing,1990
Tom Tykwer,,"Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, Armin Rohde",Run Lola Run,1998
Travis Knight,,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes, Brenda Vaccaro",Kubo and the Two Strings,2016
Robert Aldrich,,"Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes, Jim Brown",The Dirty Dozen,1967
Stephen Daldry,,"Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven, Gary Lewis",Billy Elliot,2000
"Ken Annakin, Andrew Marton, Gerd Oswald",,"John Wayne, Robert Ryan, Richard Burton, Henry Fonda, Eddie Albert",The Longest Day,1962
Luis Buñuel,,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page, Pierre Clémenti",Belle de Jour,1967
Paolo Sorrentino,,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso, Iaia Forte",The Great Beauty,2013
Marc Forster,,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell, Dustin Hoffman",Finding Neverland,2004
Hayao Miyazaki,,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura, Stephen Alpert",The Wind Rises,2013
Sidney Lumet,,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason, Milo O'Shea",The Verdict,1982
Paul McGuigan,,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu, Bruce Willis",Lucky Number Slevin,2006
Taylor Hackford,,"Jamie Foxx, Regina King, Kerry Washington, Clifton Powell, Harry Lennix",Ray,2004
Steven Spielberg,,"Danny Glover, Whoopi Goldberg, Oprah Winfrey, Margaret Avery, Willard E. Pugh",The Color Purple,1985
Rob Reiner,,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby, Steven Ford",When Harry Met Sally...,1989
Spike Lee,,"Denzel Washington, Angela Bassett, Delroy Lindo, Spike Lee, Albert Hall",Malcolm X,1992
Kevin Smith,,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer, Jason Mewes",Clerks,1994
Mike Leigh,,"David Thewlis, Lesley Sharp, Katrin Cartlidge, Greg Cruttwell, Claire Skinner",Naked,1993
J.J. Abrams,,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch, Leonard Nimoy",Star Trek Into Darkness,2013
James Mangold,,"Russell Crowe, Christian Bale, Ben Foster, Logan Lerman, Dallas Roberts",3:10 to Yuma,2007
Mike Newell,,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo",Donnie Brasco,1997
Spike Jonze,,"Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton, Jay Tavare",Adaptation.,2002
Josh Boone,,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell",The Fault in Our Stars,2014
Darius Marder,,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",Sound of Metal,2019
James Marsh,,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry, Finlay Wright-Stephens",The Theory of Everything,2014
Sidney Lumet,,"Al Pacino, John Randolph, Jack Kehoe, Biff McGuire, Barbara Eda-Young",Serpico,1973
Spike Jonze,,"John Cusack, Cameron Diaz, Catherine Keener, John Malkovich, Ned Bellamy",Being John Malkovich,1999
"Don Siegel, Clint Eastwood",,"Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni, John Vernon",Dirty Harry,1971
Aaron Sorkin,,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong, John Carroll Lynch",The Trial of the Chicago 7,2020
Alfonso Cuarón,,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma",Gravity,2013
Brad Anderson,,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside",The Machinist,2004
John Carpenter,,"Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes, P.J. Soles",Halloween,1978
"Joel Coen, Ethan Coen",,"George Clooney, John Turturro, Tim Blake Nelson, John Goodman, Holly Hunter","O Brother, Where Art Thou?",2000
Rich Moore,,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman, Alan Tudyk",Wreck-It Ralph,2012
Ang Lee,,"Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson, Harriet Walter",Sense and Sensibility,1995
Troy Duffy,,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco, Billy Connolly",The Boondock Saints,1999
Woody Allen,,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller, Mimi Kennedy",Midnight in Paris,2011
Hannes Holm,,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll, Tobias Almborg",A Man Called Ove,2015
Robert Zemeckis,,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer, Stubby Kaye",Who Framed Roger Rabbit,1988
Ron Howard,,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, Ed Harris",Apollo 13,1995
Antoine Fuqua,,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin",Training Day,2001
Josh Cooley,,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key",Toy Story 4,2019
Rob Reiner,,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kiefer Sutherland",A Few Good Men,1992
David O. Russell,,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker",Silver Linings Playbook,2012
Todd Solondz,,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker, Lara Flynn Boyle",Happiness,1998
Lasse Hallström,,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates",What's Eating Gilbert Grape,1993
Ted Kotcheff,,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney, Jack Starrett",First Blood,1982
Sofia Coppola,,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Akiko Takeshita",Lost in Translation,2003
Steven Spielberg,,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers, Joe Pantoliano",Empire of the Sun,1987
Tony Kaye,,"Adrien Brody, Christina Hendricks, Marcia Gay Harden, Lucy Liu, James Caan",Detachment,2011
Sam Mendes,,"Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken, Jennifer Jason Leigh",Road to Perdition,2002
David Lynch,,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern, Hope Lange",Blue Velvet,1986
Taylor Sheridan,,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille, Julia Jones",Wind River,2017
Kevin Reynolds,,"Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc, Guy Carleton",The Count of Monte Cristo,2002
Paul Greengrass,,"Matt Damon, Franka Potente, Joan Allen, Brian Cox, Julia Stiles",The Bourne Supremacy,2004
Ridley Scott,,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner",Black Hawk Down,2001
Abdellatif Kechiche,,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, Catherine Salée",Blue Is the Warmest Colour,2013
Steven Soderbergh,,"George Clooney, Brad Pitt, Julia Roberts, Matt Damon, Cecelia Ann Birt",Ocean's Eleven,2001
Thomas Vinterberg,,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe, Maria Bonnevie",Another Round,2020
Mel Brooks,,"Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman, Madeline Kahn",Blazing Saddles,1974
Arthur Penn,,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons",Bonnie and Clyde,1967
Tony Scott,,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell, Marc Anthony",Man on Fire,2004
David Fincher,,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards, Brian Cox",Zodiac,2007
Matthew Vaughn,,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine, Adrian Quinton",Kingsman: The Secret Service,2014
Christopher McQuarrie,,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson",Mission: Impossible - Fallout,2018
"Jim Abrahams, David Zucker, Jerry Zucker",,"Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar, Lloyd Bridges",Airplane!,1980
Chris Columbus,,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom",Home Alone,1990
Mike Newell,,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes, Timothy Spall",Harry Potter and the Goblet of Fire,2005
Jordan Peele,,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener, Caleb Landry Jones",Get Out,2017
Alex Garland,,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno, Corey Johnson",Ex Machina,2014
Todd Phillips,,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms, Heather Graham",The Hangover,2009
Sam Raimi,,"Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva, Ted Raimi",Evil Dead II,1987
Charlotte Wells,,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall, Sally Messham, Ayse Parlak",Aftersun,2022
Martin McDonagh,,"Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt, Gary Lydon",The Banshees of Inisherin,2022
Darren Aronofsky,,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau, Samantha Morton",The Whale,2022
Gauri Shinde,,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand, Sujata Kumar",English Vinglish,2012
Shoojit Sircar,,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia, John Abraham",Vicky Donor,2012
Richard Donner,,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman, Kerri Green",The Goonies,1985
Saket Chaudhary,,"Irrfan Khan, Saba Qamar, Dishita Sehgal, Deepak Dobriyal, Swati Das",Hindi Medium,2017
John Huston,,"Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore, Sam Jaffe",The Asphalt Jungle,1950
"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura",,"Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera, Unshô Ishizuka",Cowboy Bebop: The Movie,2001
Ritesh Batra,,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, Nakul Vaid",The Lunchbox,2013
James Cameron,,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet",Avatar: The Way of Water,2022
Alfred Hitchcock,,"Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty, Cecil Parker",The Lady Vanishes,1938
Howard Hawks,,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart, Porter Hall",His Girl Friday,1940
Frank Capra,,"Jean Arthur, James Stewart, Lionel Barrymore, Edward Arnold, Mischa Auer",You Can't Take It with You,1938
Ken Loach,,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann, Dylan McKiernan","I, Daniel Blake",2016
Leo McCarey,,"Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, The Marx Brothers",Duck Soup,1933
Alfred Hitchcock,,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge",Shadow of a Doubt,1943
Jacques Audiard,,"Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb, Hichem Yacoubi",A Prophet,2009
James Whale,,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson, Ernest Thesiger",The Bride of Frankenstein,1935
John Huston,,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey, Larbi Doghmi",The Man Who Would Be King,1975
Martin Zandvliet,,"Roland Møller, Louis Hofmann, Joel Basman, Mikkel Boe Følsgaard, Laura Bro",Land of Mine,2015
"Eric Radomski, Kevin Altieri, Boyd Kirkland",,"Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach, Abe Vigoda",Batman: Mask of the Phantasm,1993
Stanley Kramer,,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton, Cecil Kellaway",Guess Who's Coming to Dinner,1967
"Howard Hawks, Arthur Rosson",,"John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan, Coleen Gray",Red River,1948
Howard Hawks,,"Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett, Barry Fitzgerald",Bringing Up Baby,1938
Pedro Almodóvar,,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz",All About My Mother,1999
Yoshiaki Kawajiri,,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka, Daisuke Gôri",Ninja Scroll,1993
Michael Haneke,,"Christian Friedel, Ernst Jacobi, Leonie Benesch, Ulrich Tukur, Ursina Lardi",The White Ribbon,2009
Werner Herzog,,"Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro, Peter Berling","Aguirre, the Wrath of God",1972
John Ford,,"John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell",Stagecoach,1939
Woody Allen,,"Mia Farrow, Dianne Wiest, Michael Caine, Barbara Hershey, Carrie Fisher",Hannah and Her Sisters,1986
Lukas Moodysson,,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov, Lyubov Agapova, Liliya Shinkaryova",Lilya 4-Ever,2002
Na Hong-jin,,"Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong, In-gi Jeong",The Chaser,2008
Fred Zinnemann,,"Edward Fox, Terence Alexander, Michel Auclair, Alan Badel, Tony Britton",The Day of the Jackal,1973
Terrence Malick,,"Richard Gere, Brooke Adams, Sam Shepard, Linda Manz, Robert J. Wilke",Days of Heaven,1978
Roger Donaldson,,"Anthony Hopkins, Diane Ladd, Iain Rea, Tessa Mitchell, Aaron Murphy",The World's Fastest Indian,2005
James Whale,,"Colin Clive, Mae Clarke, Boris Karloff, John Boles, Edward Van Sloan",Frankenstein,1931
Robert Wise,,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, Billy Gray",The Day the Earth Stood Still,1951
Jim Sheridan,,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, Declan Croghan",My Left Foot,1989
Matthew Warchus,,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine, Ben Schnetzer",Pride,2014
Woody Allen,,"Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy, Meryl Streep",Manhattan,1979
Clint Eastwood,,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith, Michelle Gunn",Changeling,2008
Martin Scorsese,,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard, Ed Herlihy",The King of Comedy,1982
Taika Waititi,,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne",Hunt for the Wilderpeople,2016
Francis Ford Coppola,,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest, Cindy Williams",The Conversation,1974
Hayao Miyazaki,,"Kirsten Dunst, Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda",Kiki's Delivery Service,1989
Bob Fosse,,"Liza Minnelli, Michael York, Helmut Griem, Joel Grey, Fritz Wepper",Cabaret,1972
James Ivory,,"Anthony Hopkins, Emma Thompson, John Haycraft, Christopher Reeve, Caroline Hunt",The Remains of the Day,1993
George A. Romero,,"David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, David Crawford",Dawn of the Dead,1978
Niels Arden Oplev,,"Michael Nyqvist, Noomi Rapace, Ewa Fröling, Lena Endre, Sven-Bertil Taube",The Girl with the Dragon Tattoo,2009
Edward Zwick,,"Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman, Jihmi Kennedy",Glory,1989
Paul Greengrass,,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener, Faysal Ahmed",Captain Phillips,2013
David O. Russell,,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe",The Fighter,2010
Duncan Jones,,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw",Moon,2009
F. Gary Gray,,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge",Straight Outta Compton,2015
Andrew Niccol,,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal, Xander Berkeley",Gattaca,1997
Dean DeBlois,,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera",How to Train Your Dragon 2,2014
Clint Eastwood,,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney, John Vernon",The Outlaw Josey Wales,1976
Tarsem Singh,,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek, Aiden Lithgow",The Fall,2006
James Mangold,,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, Dallas Roberts",Walk the Line,2005
Wes Anderson,,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum",Isle of Dogs,2018
"Don Hall, Chris Williams",,"Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller, Daniel Henney",Big Hero 6,2014
Paul King,,"Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins, Michael Gambon",Paddington 2,2017
Penny Marshall,,"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson, John Heard",Awakenings,1990
Joss Whedon,,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk, Morena Baccarin",Serenity,2005
Howard Hawks,,"Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran, Hoagy Carmichael",To Have and Have Not,1944
Ron Howard,,"Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman, Paul Gleeson",Thirteen Lives,2022
John Schlesinger,,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro",Midnight Cowboy,1969
Jee-woon Kim,,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun, San-ha Oh",I Saw the Devil,2010
Robert Stevenson,,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley",Mary Poppins,1964
Matt Ross,,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton",Captain Fantastic,2016
Mel Stuart,,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Julie Dawn Cole",Willy Wonka & the Chocolate Factory,1971
Jaco Van Dormael,,"Jared Leto, Sarah Polley, Diane Kruger, Linh-Dan Pham, Rhys Ifans",Mr. Nobody,2009
John McTiernan,,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo, Bill Duke",Predator,1987
Wes Anderson,,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray, Edward Norton",Moonrise Kingdom,2012
Edgar Wright,,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy, Robert Popper",Hot Fuzz,2007
Ivan Reitman,,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis",Ghostbusters,1984
"Anthony Russo, Joe Russo",,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford, Sebastian Stan",Captain America: The Winter Soldier,2014
Joachim Trier,,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum, Hans Olav Brenner, Helene Bjørneby",The Worst Person in the World,2021
Richard Curtis,,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, Lindsay Duncan",About Time,2013
Theodore Melfi,,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst",Hidden Figures,2016
David Fincher,,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård, Steven Berkoff",The Girl with the Dragon Tattoo,2011
"Jonathan Dayton, Valerie Faris",,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin, Paul Dano",Little Miss Sunshine,2006
David Mickey Evans,,"Tom Guiry, Mike Vitar, Art LaFleur, Patrick Renna, Chauncey Leopardi",The Sandlot,1993
Quentin Tarantino,,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir",The Hateful Eight,2015
Mel Gibson,,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood, Jonathan Brewer",Apocalypto,2006
Dan Gilroy,,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed, Michael Papajohn",Nightcrawler,2014
Joe Wright,,"Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan, Ailidh Mackay",Atonement,2007
David Fincher,,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara, Bryan Barter",The Social Network,2010
J.J. Abrams,,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson, Harrison Ford",Star Wars: Episode VII - The Force Awakens,2015
Martin Scorsese,,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano",The Irishman,2019
Christopher Nolan,,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy, Damien Bonnard",Dunkirk,2017
Adam McKay,,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Rudy Eisenzopf",The Big Short,2015
Peter Jackson,,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis, Ken Stott",The Hobbit: An Unexpected Journey,2012
Gareth Edwards,,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen, Wen Jiang",Rogue One: A Star Wars Story,2016
